Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Flag
40,Yes,Travel_Frequently,Research & Development,4.0,1,Medical,1,Female,1,2,Manager,1,Married,4807,0,No,19,3,1,19,2,1,17,4,5,3,1
50,No,Travel_Rarely,Research & Development,6.0,5,Life Sciences,1,Male,3,1,Sales Representative,1,Divorced,4674,1,No,22,3,4,31,5,3,18,4,0,1,0
32,Yes,Travel_Rarely,Sales,22.0,5,Medical,2,Female,2,2,Laboratory Technician,2,Single,6184,1,No,13,4,3,10,0,3,7,7,0,7,1
29,No,Travel_Rarely,Sales,29.0,4,Marketing,4,Male,3,1,Laboratory Technician,4,Single,2997,9,No,15,3,2,4,0,4,2,2,2,2,0
32,Yes,Travel_Frequently,Research & Development,2.0,2,Medical,1,Male,1,3,Human Resources,1,Divorced,7028,6,No,17,3,2,10,5,3,7,7,2,4,1
45,No,Travel_Rarely,Sales,2.0,4,Other,2,Male,1,2,Healthcare Representative,1,Married,6973,5,No,22,3,4,27,4,1,1,1,1,1,0
39,Yes,Travel_Rarely,Research & Development,1.0,4,Life Sciences,3,Male,3,5,Sales Representative,3,Married,16723,7,Yes,22,3,2,14,0,4,10,1,4,4,1
32,No,Travel_Rarely,Research & Development,7.0,5,Medical,3,Female,2,2,Manager,4,Single,6596,8,No,17,3,2,13,2,1,1,1,1,0,0
41,No,Travel_Rarely,Sales,1.0,2,Life Sciences,2,Male,2,2,Manufacturing Director,4,Married,6259,4,No,24,3,4,17,6,3,1,1,1,1,0
37,No,Non-Travel,Sales,4.0,2,Medical,4,Male,2,2,Laboratory Technician,1,Single,5641,2,No,16,3,1,19,2,3,9,4,0,9,0
45,No,Travel_Frequently,Research & Development,1.0,2,Technical Degree,4,Female,3,1,Manufacturing Director,1,Divorced,4697,3,No,19,4,1,24,3,2,14,6,1,5,0
30,No,Travel_Rarely,Research & Development,4.0,1,Medical,4,Female,2,4,Research Director,3,Married,13538,7,No,25,3,1,12,3,3,5,2,3,3,0
33,No,Travel_Frequently,Research & Development,1.0,2,Technical Degree,4,Male,2,1,Laboratory Technician,4,Married,2936,2,No,17,4,1,14,4,4,11,3,3,3,0
33,No,Travel_Rarely,Research & Development,16.0,5,Life Sciences,2,Female,4,5,Sales Executive,3,Divorced,17443,1,No,21,3,3,12,2,3,10,6,2,4,0
23,No,Travel_Frequently,Research & Development,2.0,1,Technical Degree,2,Male,2,4,Research Director,1,Married,10915,6,No,14,3,3,0,4,2,0,0,0,0,0
39,No,Travel_Rarely,Research & Development,3.0,3,Life Sciences,3,Female,1,3,Sales Executive,1,Single,8952,3,Yes,21,3,4,18,2,3,16,1,1,3,0
39,Yes,Travel_Frequently,Sales,18.0,4,Technical Degree,3,Female,2,3,Human Resources,1,Married,7574,7,No,20,3,4,17,0,3,17,0,4,9,1
36,No,Travel_Rarely,Research & Development,12.0,2,Life Sciences,4,Female,3,3,Research Scientist,1,Divorced,8332,0,No,19,3,4,15,3,3,13,0,3,2,0
34,Yes,Travel_Rarely,Sales,2.0,3,Life Sciences,1,Male,3,2,Research Scientist,2,Single,6869,7,No,16,3,3,13,5,2,0,0,0,0,1
24,No,Travel_Rarely,Sales,1.0,2,Medical,1,Male,2,3,Manager,2,Single,6355,4,No,25,3,2,6,5,1,6,5,2,6,0
33,No,Travel_Rarely,Research & Development,11.0,4,Other,3,Male,3,1,Research Scientist,2,Divorced,2000,1,No,11,3,3,9,6,3,6,4,6,4,0
33,No,Travel_Frequently,Research & Development,4.0,5,Life Sciences,3,Male,3,1,Human Resources,3,Married,2000,0,Yes,19,3,1,10,4,4,5,5,0,5,0
29,No,Travel_Rarely,Sales,13.0,5,Life Sciences,2,Male,2,3,Research Director,4,Married,6235,5,No,21,3,1,8,1,2,1,1,1,0,0
35,No,Travel_Rarely,Research & Development,5.0,4,Technical Degree,3,Female,4,3,Manufacturing Director,1,Divorced,8914,8,No,17,3,2,15,5,4,1,1,1,1,0
40,No,Travel_Frequently,Sales,3.0,3,Life Sciences,3,Male,4,4,Manager,4,Married,10672,8,Yes,16,3,4,17,6,3,15,0,0,4,0
54,No,Travel_Rarely,Sales,5.0,1,Life Sciences,4,Male,4,2,Research Director,2,Divorced,6702,8,Yes,16,3,3,32,2,2,1,1,1,1,0
38,No,Travel_Frequently,Sales,12.0,1,Medical,1,Female,4,4,Manufacturing Director,1,Divorced,12861,3,No,14,3,2,14,0,3,7,5,3,5,0
39,No,Travel_Rarely,Human Resources,20.0,2,Life Sciences,1,Male,1,2,Healthcare Representative,1,Single,6199,5,No,14,3,2,15,1,4,13,7,4,9,0
36,No,Travel_Rarely,Research & Development,1.0,4,Technical Degree,2,Female,2,2,Sales Representative,3,Single,4917,9,Yes,21,3,3,11,0,2,6,1,2,2,0
19,Yes,Non-Travel,Research & Development,6.0,4,Marketing,1,Male,3,2,Research Director,4,Divorced,4729,5,No,13,3,2,0,0,1,0,0,0,0,1
36,No,Travel_Rarely,Research & Development,1.0,1,Medical,4,Male,3,2,Sales Representative,3,Divorced,5828,4,No,18,3,4,15,2,1,0,0,0,0,0
37,No,Travel_Rarely,Research & Development,5.0,3,Other,4,Male,2,2,Research Director,2,Married,5750,1,No,18,3,3,19,0,1,3,3,3,3,0
59,No,Travel_Frequently,Research & Development,19.0,4,Medical,2,Male,3,3,Manufacturing Director,4,Married,9626,6,No,12,3,3,36,4,3,10,0,1,7,0
35,No,Travel_Rarely,Research & Development,4.0,5,Life Sciences,3,Female,1,4,Laboratory Technician,2,Married,14482,0,No,15,3,2,10,1,2,3,0,2,3,0
39,Yes,Travel_Rarely,Sales,24.0,5,Life Sciences,3,Male,4,2,Manager,3,Single,6831,5,Yes,23,3,4,17,0,4,6,6,6,3,1
36,No,Non-Travel,Research & Development,8.0,4,Medical,4,Male,2,3,Healthcare Representative,3,Married,11096,4,No,19,3,4,14,5,4,1,1,1,1,0
26,No,Travel_Rarely,Research & Development,24.0,3,Life Sciences,2,Male,3,4,Manufacturing Director,1,Single,10883,4,No,22,3,1,6,5,3,3,3,3,3,0
47,No,Travel_Frequently,Research & Development,12.0,5,Other,4,Male,1,3,Sales Executive,4,Married,8978,7,No,24,3,3,26,0,3,16,3,1,4,0
43,No,Travel_Rarely,Research & Development,1.0,3,Marketing,1,Female,3,3,Laboratory Technician,4,Single,6841,8,No,25,3,1,18,3,4,10,9,5,6,0
44,Yes,Travel_Rarely,Research & Development,2.0,1,Life Sciences,1,Male,1,2,Human Resources,1,Married,5208,6,No,19,3,4,21,3,2,10,4,5,0,1
28,Yes,Travel_Frequently,Research & Development,4.0,2,Medical,4,Female,3,4,Sales Executive,4,Single,13762,9,No,17,3,4,6,4,3,3,3,3,3,1
49,Yes,Travel_Frequently,Research & Development,1.0,1,Medical,3,Female,4,3,Human Resources,2,Single,8373,7,No,24,3,1,25,5,2,10,2,1,1,1
24,Yes,Travel_Frequently,Research & Development,6.0,2,Other,1,Male,2,2,Manager,2,Married,6963,1,Yes,14,3,3,2,3,4,2,1,1,2,1
42,Yes,Non-Travel,Sales,5.0,5,Technical Degree,2,Female,4,2,Manager,3,Married,4607,1,Yes,14,3,1,20,0,2,13,1,0,8,1
56,No,Travel_Rarely,Sales,28.0,2,Medical,3,Male,4,4,Sales Executive,3,Single,12455,7,No,20,3,4,34,5,1,16,4,3,2,0
27,Yes,Travel_Rarely,Sales,5.0,2,Marketing,1,Male,3,1,Manager,4,Single,2250,5,Yes,21,3,4,2,0,4,1,1,1,1,1
31,Yes,Travel_Rarely,Research & Development,13.0,4,Medical,4,Male,4,5,Research Scientist,1,Married,16963,7,Yes,17,3,2,13,1,1,1,1,1,1,1
37,No,Travel_Rarely,Sales,25.0,2,Medical,3,Female,2,2,Sales Representative,3,Divorced,7047,8,No,13,4,2,18,5,4,15,4,7,7,0
32,No,Travel_Rarely,Sales,18.0,4,Life Sciences,3,Female,1,4,Manufacturing Director,3,Single,12500,8,No,13,3,1,12,3,1,11,9,7,7,0
22,Yes,Travel_Frequently,Research & Development,2.0,2,Life Sciences,1,Male,1,2,Human Resources,3,Divorced,4000,5,No,15,3,2,0,2,2,0,0,0,0,1
37,No,Travel_Rarely,Sales,6.0,4,Medical,2,Female,3,3,Healthcare Representative,3,Married,8360,7,No,21,4,4,19,3,4,9,7,6,4,0
27,No,Travel_Frequently,Research & Development,3.0,5,Life Sciences,1,Male,2,4,Research Scientist,4,Single,11177,1,Yes,23,3,3,7,0,4,3,3,0,3,0
41,Yes,Travel_Frequently,Sales,4.0,5,Life Sciences,1,Male,2,2,Laboratory Technician,2,Divorced,4922,7,No,16,3,3,19,1,1,15,8,5,0,1
28,No,Travel_Rarely,Human Resources,4.0,2,Medical,1,Male,1,3,Laboratory Technician,2,Single,6174,2,No,18,3,1,3,3,2,2,2,2,2,0
51,No,Travel_Rarely,Research & Development,15.0,3,Life Sciences,1,Female,1,1,Manufacturing Director,2,Single,6213,0,No,11,3,2,31,1,4,7,7,5,0,0
29,No,Travel_Rarely,Sales,5.0,5,Medical,1,Female,4,1,Manufacturing Director,2,Married,2000,6,No,17,3,1,8,3,3,5,3,2,1,0
33,No,Travel_Rarely,Research & Development,6.0,1,Medical,4,Male,3,2,Human Resources,1,Married,7400,0,No,18,3,2,12,4,1,5,5,5,5,0
44,No,Travel_Frequently,Human Resources,29.0,1,Other,1,Male,1,3,Research Director,4,Married,8588,0,No,15,3,3,25,0,4,1,1,1,1,0
25,Yes,Travel_Rarely,Research & Development,1.0,4,Medical,2,Male,1,2,Manufacturing Director,3,Married,4052,0,Yes,22,3,2,6,0,2,6,6,3,2,1
38,Yes,Travel_Frequently,Sales,6.0,3,Life Sciences,3,Male,2,2,Manager,1,Married,6827,3,No,20,3,2,18,2,2,0,0,0,0,1
48,No,Travel_Frequently,Research & Development,13.0,4,Medical,4,Male,2,2,Sales Representative,2,Married,8682,3,No,25,3,1,30,0,2,13,2,3,5,0
22,No,Travel_Rarely,Research & Development,1.0,2,Technical Degree,2,Female,2,3,Research Director,2,Divorced,8661,9,No,12,4,3,4,2,2,0,0,0,0,0
38,Yes,Travel_Frequently,Research & Development,8.0,5,Other,1,Male,1,3,Manufacturing Director,1,Married,8882,5,No,14,3,2,16,0,1,3,3,3,3,1
39,No,Travel_Rarely,Human Resources,2.0,3,Medical,2,Male,3,2,Laboratory Technician,3,Single,7484,9,Yes,16,3,3,21,6,4,3,2,3,3,0
44,Yes,Travel_Rarely,Sales,18.0,4,Life Sciences,3,Male,4,1,Healthcare Representative,1,Divorced,2440,2,No,25,3,2,25,3,1,8,4,6,1,1
25,No,Travel_Rarely,Sales,3.0,4,Technical Degree,2,Female,3,5,Laboratory Technician,4,Single,15933,9,No,19,3,3,7,3,1,2,0,2,2,0
24,Yes,Travel_Rarely,Sales,3.0,1,Life Sciences,1,Female,1,2,Manufacturing Director,4,Married,3566,5,Yes,12,4,2,2,4,2,0,0,0,0,1
41,No,Travel_Rarely,Research & Development,8.0,2,Medical,3,Male,4,4,Sales Representative,4,Single,14069,6,Yes,25,3,4,20,3,3,0,0,0,0,0
39,Yes,Non-Travel,Research & Development,1.0,4,Life Sciences,1,Female,3,4,Sales Representative,4,Single,12219,0,No,14,3,3,21,6,2,18,2,6,6,1
39,No,Travel_Rarely,Research & Development,3.0,1,Life Sciences,1,Male,1,4,Laboratory Technician,3,Single,13694,5,No,20,3,4,21,1,3,0,0,0,0,0
40,No,Travel_Rarely,Research & Development,4.0,3,Life Sciences,4,Male,3,2,Human Resources,1,Single,6823,9,Yes,15,3,4,21,6,1,9,8,1,9,0
30,Yes,Travel_Rarely,Research & Development,3.0,4,Life Sciences,3,Male,1,4,Sales Executive,4,Divorced,10765,0,No,24,3,4,10,3,2,5,5,2,5,1
39,Yes,Travel_Rarely,Research & Development,6.0,1,Medical,3,Male,2,4,Healthcare Representative,2,Single,11735,6,No,18,3,2,18,2,2,11,6,6,0,1
39,No,Travel_Rarely,Research & Development,8.0,2,Other,1,Male,3,3,Manager,1,Married,9672,9,No,18,3,3,14,5,1,9,5,7,3,0
30,No,Travel_Rarely,Research & Development,7.0,5,Life Sciences,2,Female,2,2,Laboratory Technician,2,Single,4369,4,No,12,4,2,10,4,2,1,1,1,1,0
53,Yes,Travel_Rarely,Research & Development,9.0,3,Marketing,3,Female,2,2,Sales Executive,2,Married,6889,9,Yes,16,3,2,28,5,4,15,6,5,5,1
41,No,Travel_Rarely,Research & Development,3.0,4,Life Sciences,2,Female,4,2,Sales Representative,2,Divorced,5080,3,No,16,3,3,19,5,3,7,7,1,5,0
26,No,Travel_Rarely,Human Resources,1.0,1,Medical,2,Male,4,3,Manager,3,Married,6943,0,Yes,23,3,1,4,1,3,4,0,0,4,0
42,Yes,Travel_Frequently,Sales,12.0,4,Life Sciences,3,Male,3,3,Manager,4,Married,8704,8,No,25,4,2,22,6,3,14,2,5,2,1
28,Yes,Travel_Rarely,Human Resources,17.0,5,Other,2,Female,1,2,Manager,2,Divorced,4280,6,Yes,24,3,4,9,1,2,1,1,1,1,1
44,Yes,Travel_Frequently,Research & Development,2.0,4,Marketing,3,Male,4,3,Sales Representative,1,Single,7527,1,No,15,3,2,21,0,4,3,2,2,3,1
47,Yes,Travel_Rarely,Research & Development,4.0,4,Medical,4,Male,4,2,Human Resources,1,Married,6603,3,Yes,18,3,1,22,6,2,2,2,2,0,1
29,Yes,Travel_Rarely,Sales,6.0,1,Marketing,3,Male,2,3,Human Resources,2,Single,6786,3,No,20,3,4,10,2,3,8,0,2,4,1
45,No,Travel_Rarely,Research & Development,6.0,5,Medical,3,Female,2,5,Sales Executive,2,Divorced,16787,7,No,12,3,2,22,5,2,17,1,1,3,0
40,No,Travel_Rarely,Research & Development,9.0,3,Other,3,Male,1,2,Sales Executive,1,Married,4733,1,Yes,24,3,3,17,3,3,6,4,1,6,0
44,Yes,Travel_Rarely,Research & Development,1.0,1,Medical,4,Male,4,2,Healthcare Representative,2,Divorced,6406,4,No,23,4,4,25,3,1,3,3,2,1,1
